customer_id,full_name,mobile_number,age,gender,region,date_joined,is_business_user,risk_score
cust100000,Ryan Gallagher,7631706690,26,female,north,2024-01-28,False,0.39
cust100001,Robert Garza,0806360837,49,female,west,2025-04-16,False,0.13
cust100002,Haley Rhodes,8124158683,68,male,west,2022-02-10,True,0.14
cust100003,Sonya Mathis,3662585178,42,male,north,2021-02-18,False,0.07
cust100004,Ryan Wood,9996228303,35,female,south,2023-04-17,False,0.3
cust100005,Crystal Palmer,9068288360,24,female,north,2022-12-31,True,0.0
cust100006,Julian Everett,5088995790,59,female,west,2024-08-13,False,0.41
cust100007,Krista White,1107043419,45,female,central,2021-07-08,False,0.11
cust100008,Christopher Scott,5771046563,46,female,central,2021-11-20,False,0.24
cust100009,Nicholas Davila,6202786838,32,female,west,2022-11-06,False,0.17
cust100010,Amanda Leonard,2304114426,19,male,central,2023-06-03,False,0.38
cust100011,Justin Jefferson,9806351396,24,male,east,2023-07-21,False,0.0
cust100012,Todd Price MD,4023592563,39,female,central,2021-12-04,False,0.16
cust100013,James Kelley,0122283459,45,female,south,2023-02-15,False,0.15
cust100014,Gerald Wilson,9815061622,55,female,west,2022-04-19,False,0.34
cust100015,Rachael Gray,5498174104,50,male,north,2020-08-27,False,0.07
cust100016,Anna Wilson,6217232166,65,female,west,2024-08-17,False,0.18
cust100017,Sabrina Pierce,5000495765,41,female,east,2022-08-03,True,0.09
cust100018,Evan Guzman,9875428343,60,female,south,2021-10-29,False,0.21
cust100019,Douglas Lucero,3640525943,43,male,north,2022-04-07,False,0.27
cust100020,Lauren Carlson,6148110045,37,female,central,2023-01-23,False,0.07
cust100021,Brittany Mason,2225418942,43,female,south,2025-01-23,False,0.34
cust100022,Thomas Johnson,2468203417,18,female,central,2024-08-20,False,0.31
cust100023,Kimberly York,2470690059,53,male,central,2021-04-14,False,0.26
cust100024,David Calderon,9137028587,54,male,east,2025-03-31,False,0.31
cust100025,Courtney Edwards,8943018528,56,female,north,2024-06-04,False,0.12
cust100026,Emily Schwartz,1198962246,70,female,central,2021-09-06,False,0.19
cust100027,Norma Williams,2808141412,51,female,south,2025-06-10,False,0.09
cust100028,Tracy Parks,6625729731,21,male,east,2022-10-01,False,0.17
cust100029,Susan Guerrero,0387900934,30,female,west,2021-08-17,False,0.26
cust100030,Joshua Nelson,5761396341,40,male,north,2025-02-11,False,0.12
cust100031,Keith Smith,5946858501,57,female,east,2022-10-22,False,0.15
cust100032,Eric Ross,3804983798,19,female,south,2022-08-22,False,0.12
cust100033,Victoria Torres,3580696659,29,female,central,2023-07-08,False,0.1
cust100034,Stephanie Goodman,6264219054,70,female,north,2024-08-02,False,0.12
cust100035,Michael Torres,7804819615,61,male,north,2020-12-05,False,0.2
cust100036,Christopher Page,9438335411,66,female,south,2024-02-03,False,0.07
cust100037,Mary Mcdonald,4593686274,69,female,east,2024-12-05,False,0.23
cust100038,Daniel Stuart,5634312979,28,male,central,2025-02-28,False,0.4
